url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
0|http://4mov.do.am|9|103|1268|3316|3134|2897|6082|6098|""http://4mov.do.am/_ld/0/20123870.jpg""
1|http://59188048.blog.fc2.com|8|99|464|793|800|738|742|742|""http://templates.blog.fc2.com/template/redrose/ro_bg2.jpg""
2|http://a81.qooqootv.top|10|326|570|729|634|1386|0|1391|""<h1></h1>""
3|http://abcloudsoft.com|10|87|1150|2772|3767|1742|3501|3510|""http://abcloudsoft.com/banner/bg.png""
4|http://adelaide.china-consulate.gov.cn|10|261|912|2726|2834|2361|0|2380|""<li></li>""
5|http://advanced-personality.com|1014|1813|2747|3444|3634|3217|0|3626|""<div class="title-home twothird"></div>""
7|http://ag.win999.com|12|227|545|2901|2900|2884|0|2912|""<h2 _ngcontent-ng-c2341760758="" class="form-signin-heading"></h2>""
6|http://agmindis.lt|10|558|1377|2548|2600|2055|2586|2589|""http://agmindis.lt/wp-content/themes/Real%20Estate%20v1.3/skins/1-default/i-featuredpropertiesbg.png""
8|http://ahlevela.com|11|425|1448|3800|3834|3317|3788|3803|""http://ahlevela.com/templates/ahlevela/images/main_middle_bg.jpg""
9|http://aiharamao.seesaa.net|10|34|284|1886|3267|974|1284|1284|""http://blog.seesaa.jp/img/bg/green_leaves/head.jpg""
10|http://aks.roshd.ir|11|491|1157|3163|4200|2572|2817|2823|""http://aks.roshd.ir/css/main/c-bg.gif""
11|http://aliamtz.blogfa.com|9|42|249|573|567|408|469|475|""http://theme.blogfa.com/rail/header.jpg""
12|http://allahsname.blogspot.com|11|48|164|559|567|486|548|548|""https://resources.blogblog.com/blogblog/data/1kt/simple/gradients_light.png""
13|http://amami-lucky-rentacar.com|12|148|626|2859|4100|1758|3662|3778|""http://amami-lucky-rentacar.com/wp/wp-content/uploads/tcd-w/001a4.png""
14|http://amarvelousevent.com|9|104|537|1170|1334|914|1114|1197|""https://i1.wp.com/amarvelousevent.com/wp-content/uploads/Amarvelous_Event_Wedding_2018_04_14-01-scaled.jpg?strip=info&w=2000""
15|http://ambulantniporod.cz|10|436|3017|5270|5434|5044|5213|5227|""http://ambulantniporod.cz/wp-content/uploads/2019/09/background.png""
16|http://amsterdamfixedmatches.com|10|89|1711|2251|2267|2145|2774|2774|""https://amsterdamfixedmatches.com/wp-content/uploads/2023/09/Amsterdam-Fixed-Match.jpg""
17|http://andalocyparfums.com|9|47|2120|6134|10634|3860|4816|4816|""https://andalocyparfums.com/wp-content/uploads/2018/10/jamma-elfna.png?id=2887""
18|http://arabfemdom4.blogspot.com|10|70|341|1471|1500|746|909|915|""http://2.bp.blogspot.com/-saIfPSQxcsA/WSwGTn4RuNI/AAAAAAAALOI/8c03ecmyP_EpGuo_fEXtkkOKZOZFTVuJwCK4B/s1600/00212.jpg""
19|http://arfania.com|9|229|1051|3024|3300|1673|1671|1674|""http://arfania.com/theme/Lawyer/img/logo.png?v=3""
20|http://atc-a.ru|9|375|1144|4047|4900|2610|4590|4594|""http://atc-a.ru/upload/information_system_29/2/4/6/item_246/item_246.jpg?1706320177382""
21|http://ats-avs.co.jp|11|81|194|1360|1367|675|728|742|""http://ats-avs.co.jp/img/12.jpg""
22|http://aureleencuisine.canalblog.com|10|213|865|3657|4000|2824|3153|3153|""https://p1.storage.canalblog.com/17/17/851394/81646746_p.jpg""
23|http://avtokompressor.bestshop111.space|11|573|1152|1886|1800|1789|2826|2841|""http://avtokompressor.bestshop111.space/images/bg.jpg""
24|http://azadphilosophy90.blogfa.com|10|29|314|777|767|613|736|746|""http://theme.blogfa.com/horizon/os_main.jpg""
25|http://azbuka-dveri.ru|9|682|1290|3223|4067|1980|3710|3714|""http://azbuka-dveri.ru/storage/1045/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0-9.jpg""
26|http://baztehshop.ru|9|367|1267|3234|3933|2612|3493|3497|""http://baztehshop.ru/d/podshipniki.jpg""
27|http://bbsswap.de|10|558|1093|3830|4400|3284|8933|8934|""http://bbsswap.de/img/sbbs/Soemmerda.jfif""
28|http://bda.ariege.fr|9|295|776|2512|2700|1455|2456|2473|""http://bda.ariege.fr/var/cg09/storage/images/mediatheque/bdp/lire-ecouter-voir/ecouter/catalogue-formation-2024/633811-1-fre-FR/Catalogue-formation-2024_accueil-slider.jpg""
31|http://be-side.jp|12|1354|1814|2951|4100|2305|2644|2657|""http://be-side.jp/MTCommon_Templates/img/bg.gif""
29|http://beamstory.php.xdomain.jp|8|882|1312|3171|3100|3036|3046|3055|""http://beamstory.php.xdomain.jp/img/job.png""
30|http://bellsmillfishery.co.uk|11|313|2119|3549|4500|2671|3573|3589|""http://bellsmillfishery.co.uk/wp-content/uploads/2020/02/d4ad5094-2265-426b-8069-9a8ae4b53822.jpg""
32|http://bestgolf.co.jp|11|784|1257|2055|2034|1733|2014|2017|""http://bestgolf.co.jp/images/30.jpg""
33|http://betulart.hu|11|639|1777|4796|5700|3101|5659|5671|""http://betulart.hu/images/sliders/slider1_20160624_132227.jpg""
35|http://bi-bahane.blogfa.com|11|46|225|2586|2600|1354|2557|2572|""http://themeupload.theme-designer.com/62/image/4.jpg""
