url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
0|http://4mov.do.am|1027|1027|1438|3674|3266|3203|3188|3320|""http://4mov.do.am/_ld/0/48828626.jpg""
1|http://59188048.blog.fc2.com|209|209|290|513|533|483|0|483|""<div class="body"></div>""
2|http://a81.qooqootv.top|3004|3005|3332|4234|4566|4518|3852|3852|""http://d38psrni17bvxu.cloudfront.net/themes/cleanPeppermintBlack_657d9013/img/bottom.png""
3|http://abcloudsoft.com|2|11|1436|4767|5600|2770|2675|4270|""https://abcloudsoft.com/banner/bg.png""
4|http://adelaide.china-consulate.gov.cn|2|11|1478|4028|11500|2672|11278|11395|""https://adelaide.china-consulate.gov.cn/zlgxw/202312/W020231222421358436468.JPG""
5|http://advanced-personality.com|1108|1319|2133|2764|2866|2589|0|2872|""<div class="title-home twothird"></div>""
6|http://ag.win999.com|461|461|665|0|0|
7|http://agmindis.lt|1252|1252|2071|4930|9900|2733|3716|3733|""http://agmindis.lt/wp-content/uploads/1-12-650x277.jpg""
8|http://ahlevela.com|2|271|1294|3508|3600|3089|3706|3756|""https://ahlevela.com/templates/ahlevela/images/header.jpg""
9|http://aiharamao.seesaa.net|234|234|360|1700|2033|1021|1976|1976|""http://blog.seesaa.jp/img/bg/green_leaves/head.jpg""
10|http://aks.roshd.ir|3003|3003|3360|6455|6900|5239|5685|5706|""http://aks.roshd.ir/css/main/c-t.gif""
11|http://aliamtz.blogfa.com|337|337|474|1218|1000|688|830|830|""http://theme.blogfa.com/rail/header.jpg""
12|http://allahsname.blogspot.com|3|96|204|445|433|416|365|416|""https://4.bp.blogspot.com/-LTs8FgzLaEo/VZOaO14UFCI/AAAAAAAACoc/tk0VhngTs8M/s1600/212.gif""
13|http://amami-lucky-rentacar.com|2|310|929|1000|1000|971|0|971|""<p></p>""
14|http://amarvelousevent.com|2|28|318|786|766|620|712|736|""https://i1.wp.com/amarvelousevent.com/wp-content/uploads/Amarvelous_Event_Wedding_2018_04_14-01-scaled.jpg?strip=info&w=600""
15|http://ambulantniporod.cz|0|0|1714|9125|10377|4457|5204|5224|""http://ambulantniporod.cz/wp-content/uploads/2019/09/background.png""
16|http://amsterdamfixedmatches.com|2|186|706|1412|1166|1150|1062|1150|""https://amsterdamfixedmatches.com/wp-content/uploads/2023/09/Amsterdam-Fixed-Match.jpg""
17|http://andalocyparfums.com|2|73|1967|6196|6373|4305|6061|6190|""https://andalocyparfums.com/wp-content/uploads/2018/10/SLIDE1-1280-700.jpg""
18|http://arabfemdom4.blogspot.com|2|108|482|1292|1300|651|698|817|""https://1.bp.blogspot.com/-yElJA-wQ5fo/WJ7xZLQoMsI/AAAAAAAAK6g/bbbd_M1fo1Unm_ejjqY1W3ItcgHGf-U5gCK4B/s1600/SAR-Lalla-Salma.jpg""
19|http://arfania.com|3|371|1190|1266|1266|1232|0|1232|""<body></body>""
20|http://atc-a.ru|854|854|1188|4899|5433|2638|5094|5139|""http://atc-a.ru/upload/information_system_29/2/4/6/item_246/item_246.jpg?1707237387180""
21|http://ats-avs.co.jp|2|430|553|600|600|587|0|587|""<h1 style="text-align: center;"></h1>""
22|http://aureleencuisine.canalblog.com|788|788|991|3854|5200|3137|0|5170|""<div class="jad_cmp_paywall_intro-text mobile-collapsed"></div>""
23|http://avtokompressor.bestshop111.space|2|688|1345|1400|1400|1387|0|1387|""<pre></pre>""
24|http://azadphilosophy90.blogfa.com|331|331|489|759|633|616|0|616|""<p style="text-align: justify; direction: rtl; unicode-bidi: embed;" dir="rtl" class=" "></p>""
25|http://azbuka-dveri.ru|3|604|1525|2365|2333|2301|2491|2501|""https://azbuka-dveri.ru/site/image/catalog1.png""
26,http://baztehshop.ru,,,,,,,,,
27|http://bbsswap.de|1938|1938|2142|8099|16449|4683|0|16518|""http://bbsswap.de/img/sbbs/video.mp4""
