url_id|url|power|redirectEnd|fetchStart|domainLookupStart|connectStart|requestStart|responseStart|domContentLoadedEventStart|domComplete|SpeedIndex|VC85|fcp|lcp_load|lcp_render|lcp_element
0000|http://01fishers.blog.fc2.com|0|0|130|130|130|133|200|437|441|||539|0|539|""<h1></h1>""
0001|http://1honar2memari.blogfa.com|0|0|496|496|496|514|694|1052|5542|||1142|0|1142|""<p style='text-align:justify'></p>""
0002|http://1-yoshi.com|0|0|910|910|910|932|1101|2529|3348|||2542|2765|2808|""http://1-yoshi.com/wp-content/uploads/2020/05/002.png""
0003|http://4lyk-p-falir.att.sch.gr|0|0|3658|3658|3658|3676|4637|6709|7878|||7123|7032|7172|""http://4lyk-p-falir.att.sch.gr/portal//images/headers/img2.jpg""
0004|http://aachrist.blogfa.com|0|0|466|466|466|487|585|981|3442|||1079|0|1079|""<div class='postcontent'></div>""
0005|http://aboutvalues.net|0|0|914|914|914|934|1107|3887|5718|||4054|0|4087|""<div class='headline'></div>""
0006|http://account.friend.co.th|0|0|298|298|298|311|559|2970|7404|||2984|0|3116|""<td valign='top' bgcolor='#FFFFCC'></td>""
0007|http://acnenet.com.ua|||||||||||||||
0008|http://actel.jp|0|0|8|16|18|463|636|749|1095|||875|0|875|""<td width='75%'></td>""
0009|http://addeen.my|0|0|12|22|25|434|929|2911|3752|||3445|3865|3865|""https://www.addeen.my/images/banners/Banner%20Ramadhan%201.png""
0010|http://administracion.realmexico.info|0|0|236|236|236|243|438|682|2138|||742|0|742|""<h1 class='title'></h1>""
0011|http://adm-shr.ru|0|0|844|844|844|859|1526|4500|135471|||3140|4329|4370|""http://adm-shr.ru/images/flag.png""
0012|http://aion.by|0|0|9|13|14|476|755|830|832|||1007|0|1007|""<div class='fatal-error-header b-text b-text_lang_en'></div>""
0013|http://akoya-karlsruhe.de|0|0|845|845|845|870|1246|3872|8222|||3876|6866|6969|""http://akoya-karlsruhe.de/.cm4all/uproc.php/0/banner/.banner%201%20B.jpg/picture-2600?_=16d40a78d44""
0014|http://allemanshalsan.nu|0|0|218|218|218|231|1162|3107|3119|||2920|0|2936|""<p></p>""
0015|http://alljapanminibikerace.blog.fc2.com|0|0|120|120|120|126|185|446|454|||539|0|539|""<h1></h1>""
0016|http://alyssasfantasies.com|0|0|10|17|20|472|698|4160|5826|||2211|2402|2402|""https://userfiles.escortbook.com/ef/0/135/764/full_6687dc8b0a8d5.jpg""
0017|http://amaliyah.net|0|0|1158|1158|1158|1182|1455|3329|3429|||2544|3379|3458|""http://amaliyah.net/wp-content/uploads/2021/03/Al-Quran.png""
0018|http://api.flexplatform.net|||||||||||||||
0019|http://archive0310.net|0|0|3018|3018|3018|3038|3242|3384|4284|||4104|0|4104|""<p></p>""
