url_id|url|power|redirectEnd|fetchStart|domainLookupStart|connectStart|requestStart|responseStart|domContentLoadedEventStart|domComplete|SpeedIndex|VC85|fcp|lcp_load|lcp_render|lcp_element
0000|http://01fishers.blog.fc2.com|0|0|215|217|218|236|295|549|580|||434|0|498|""<a href='http://01fishers.blog.fc2.com/'></a>""
0001|http://1honar2memari.blogfa.com|0|0|-9|11|12|97|194|542|3082|||455|2885|2885|""http://www.blogfa.com/b/1AC02A686C5.gif""
0002|http://1-yoshi.com|||||||||||||||
0003|http://4lyk-p-falir.att.sch.gr|0|779|800|800|800|855|1346|3676|5135|||3583|4513|4524|""http://4lyk-p-falir.att.sch.gr/portal//images/headers/img2.jpg""
0004|http://aachrist.blogfa.com|||||||||||||||
0005|http://aboutvalues.net|0|0|-6|13|13|171|336|3563|5551|||3226|5550|5558|""http://aboutvalues.net/assets/images/home_header.jpg""
0006|http://account.friend.co.th|0|0|-6|4|5|219|438|3064|6863|||3071|0|3122|""<address></address>""
0007|http://acnenet.com.ua|0|0|-9|2|2|182|387|1110|4433|||1017|1340|1389|""http://acnenet.com.ua/images/samolikavannya.png""
0008|http://actel.jp|0|0|-6|6|6|131|286|362|759|||402|517|521|""http://actel.jp/Images/header7a_1.gif""
0009|http://addeen.my|||||||||||||||
0010|http://administracion.realmexico.info|||||||||||||||
0011|http://adm-shr.ru|0|0|-8|7|8|194|793|2547|182737|||2286|2595|2604|""http://adm-shr.ru/images/header-bg1.png""
0012|http://aion.by|0|0|-6|10|11|198|392|1706|5221|||1649|2907|2925|""http://aion.by/templates/skin_dark_lion/images/news_bg_mid.png""
0013|http://akoya-karlsruhe.de|0|0|-7|17|18|173|504|2171|7878|||2130|5657|5687|""http://akoya-karlsruhe.de/.cm4all/uproc.php/0/banner/.banner%202%20B.jpg/picture-2600?_=16d40a79eb0""
0014|http://allemanshalsan.nu|0|0|-4|4|5|178|1783|3140|3894|||3099|3721|3732|""http://allemanshalsan.nu/wp-content/uploads/2019/09/header-2019-2-1500x351.jpg""
0015|http://alljapanminibikerace.blog.fc2.com|||||||||||||||
0016|http://alyssasfantasies.com|||||||||||||||
0017|http://amaliyah.net|0|0|-9|7|13|208|399|1971|2006|||1551|2657|2665|""http://amaliyah.net/wp-content/uploads/2021/03/Al-Quran-1536x1536.png""
0018|http://api.flexplatform.net|||||||||||||||
0019|http://archive0310.net|0|0|-11|15|16|165|317|391|1519|||1057|0|1110|""<h2 class='title text-center'></h2>""
0020|http://archiwum.udskior.gov.pl|0|0|-8|11|12|182|353|1179|2372|||1083|1644|1649|""http://archiwum.udskior.gov.pl/gallery/animacja_main/tmp_img_2.jpg""
0021|http://art-clinic.byoinnavi.jp|0|259|263|263|263|275|409|1644|2104|||1439|1784|1807|""http://art-clinic.byoinnavi.jp/common_image/mainimg_back.gif""
0022|http://artimagia.pt|0|0|-3|9|10|161|1143|2182|7169|||1946|4674|4677|""http://artimagia.pt/wp-content/uploads/2019/02/Design-sem-nome.png""
0023|http://aura.happylife7.com|0|0|-7|10|11|134|256|864|2226|||749|893|900|""http://aura.happylife7.com/images/logo.jpg""
0024|http://autoberdsk.ru|0|0|-8|4|5|172|847|2333|12270|||2118|2979|2986|""http://autoberdsk.ru/wp-content/themes/Collias/images/fon_logo.png""
0025|http://autortakizawa.com.mx|0|0|-3|11|11|89|470|1214|1616|||859|1043|1043|""https://si.nccdn.net/page_images/underneath_car-960x637.jpg""
0026|http://avayeirane.blogfa.com|0|0|-8|22|23|140|264|1014|3006|||547|659|793|""http://theme.blogfa.com/siahfam/black.jpg""
0027|http://avn.indo.kg|0|0|-11|10|11|239|479|1360|3159|||1039|0|1226|""<p class='title'></p>""
0028|http://bamberg-hautarzt.de|0|0|-6|16|16|181|489|2170|2621|||2089|2487|2491|""http://bamberg-hautarzt.de/wp-content/uploads/2016/01/WandBlau2.jpg""
0029|http://bancadati.anpalservizi.it|0|0|634|644|646|998|1154|2507|2758|||2480|0|2506|""<div _ngcontent-ng-c610403749='' class='app-title'></div>""
0030|http://bantinxedien.com|0|0|-6|1|2|327|607|5144|166959|||4939|9390|9393|""http://bantinxedien.com/upimages/articles/dibao/1698403180_DB0206-copy_2_result.jpg""
